ESTADO,PARTICIPANTES,PORCENTAJE
11. Estado de México,877,7
15. Jalisco,853,6.8
9.    Ciudad de México,827,6.6
19. Nuevo León,804,6.4
6.    Chihuahua,797,6.4
2.    Baja California:,764,6.1
26. Sonora,672,5.4
28. Tamaulipas,672,5.4
30. Veracruz,593,4.7
7.    Coahuila,556,4.4
12. Guanajuato,543,4.3
25. Sinaloa,449,3.6
1. Aguascalientes,440,3.5
16. Michoacán,352,2.8
21. Puebla,325,2.6
31. Yucatán,311,2.5
22. Querétaro,284,2.3
17. Morelos,277,2.2
24. San Luis Potosí,275,2.2
32. Zacatecas,267,2.1
23. Quintana Roo,206,1.6
8.  Colima,201,1.6
18. Nayarit,166,1.3
14. Hidalgo,158,1.3
10. Durango,153,1.2
20. Oaxaca,145,1.2
3.    Baja California Sur,136,1.1
5.    Chiapas,129,1
13. Guerrero,126,1
4.    Campeche,69,0.5
27. Tabasco,66,0.5
29. Tlaxcala,53,0.4
